"track_id","track_name","duration","explicit"
"1rgnBhdG2JDFTbYkYRZAku","Dance Monkey","209754","0"
"2rRJrJEo19S2J82BDsQ3F7","Falling","159381","0"
"696DnlkuDOXcMAnKlTgXXK","ROXANNE","163636","1"
"2b8fOow8UzyDFAE27YhOZM","Memories","189486","0"
"6v3KW9xbzN5yKLt9YKDYA2","Señorita","190799","0"
"21jGcNKet2qwijlDFuPiPb","Circles","215280","0"
"3PfIrDoz19wz7qK7tYeu62","Don't Start Now","183290","0"
"3ZCTVFBt2Brf31RLEnCkWJ","everything i wanted","245425","0"
"0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","200040","0"
"3yOlyBJuViE2YSGn3nVE1K","My Oh My (feat. DaBaby)","170746","0"
"3VyjsVV24RmBIbWJAeUJNu","No Idea","154424","0"
"7qEHsqek33rTcFNT9PFqLf","Someone You Loved","182160","0"
"2Fxmhks0bxGSBdJ92vM42m","bad guy","194087","0"
"70eFcWOvlMObDhURTqT4Fv","Beautiful People (feat. Khalid)","197866","0"
"57vxBYXtHMk6H1aD29V7PU","Heartless","200080","1"
"3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","175720","1"
"0nbXyq5TXYPCO7pr3N8S4I","The Box","196652","1"
"3jjujdWJ72nww5eGnfs2E7","Adore You","207133","0"
"1HfMVBKM75vxSfsQ5VefZ5","Lose You To Love Me","206458","0"
"1lOe9qE0vR9zwWQAOk6CoO","Ransom","131240","1"
"7aiClxsDWFRQ0Kzk5KI5ku","hot girl bummer","185093","1"
"51Fjme0JiitpyXKuyQiCDo","Lalala","160626","1"
"285pBltuF7vW8TeWk8hdRR","Lucid Dreams","239835","1"
"7h0d2h0fUmzbs7zeFigJPn","HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","244873","1"
"0hVXuCcriWRGvwMV1r5Yn9","I Don't Care (with Justin Bieber)","219946","0"
"6UelLqGlWMcVH1E5c4H7lY","Watermelon Sugar","174000","0"
"0RiRZpuVRbi7oqRdSMwhQY","Sunflower - Spider-Man: Into the Spider-Verse","157560","0"
"4eATgVzzItxYeRosdOu60A","نساني","286394","0"
"6b2RcmUt1g9N9mQ3CbjX2Y","How Do You Sleep?","202204","0"
"6Ozh9Ok6h4Oi1wUSLtBseN","BOP","159714","1"
"6mwaAeZONHdnqokoNj7fV0","Warqa","195448","0"
"5DqdesEfbRyOlSS3Tf6c29","It's You","212606","0"
"6ocbgoVGwYJhOv1GgI9NsF","7 rings","178626","1"
"6Gg1gjgKi2AK4e0qzsR7sd","Bandit (with YoungBoy Never Broke Again)","189322","1"
"2wrJq5XKLnmhRXHIAf9xBa","10,000 Hours (with Justin Bieber)","167693","0"
"3GRSqlALWISqLeNncZMbpX","Mean It","232853","0"
"6u7jPi22kF8CTQ3rb9DHE7","Old Town Road (feat. Billy Ray Cyrus) - Remix","157066","0"
"3ee8Jmje8o58CHK66QrVC2","SAD!","166605","1"
"1iQDltZqI7BXnHrFy4Qo1k","Trampoline (with ZAYN)","184280","0"
"4AO1XhrgJczQ9bNVxdfKQe","WHAT TO DO? (feat. Don Toliver)","250141","1"
"6LcauUZjF1eXQrgqMUecHX","Ayy Macarena","131606","1"
"0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","200185","0"
"6uJONCdr2rC65BNmCnTBWK","GANG GANG","244760","1"
"2Ec33AVlkTTq8BHFgBTdQs","Futsal Shuffle 2020","198912","1"
"2gMXnyrvIjhVBUZwvLZDMP","Before You Go","215106","0"
"2dpaYNEQHiRxtZbfNsse99","Happier","214289","0"
"0JP9xo3adEtGSdUEISiszL","Moonlight","135090","1"
"4vUmTMuQqjdnvlZmAH61Qk","South of the Border (feat. Camila Cabello & Cardi B)","204466","0"
"2W4yABdLc4Jnds67Poi5Nl","Yellow Hearts","223257","0"
"4QPEwDdOMhY7rNS05mTyMR","Own It (feat. Ed Sheeran & Burna Boy)","216706","0"
"2jrAaawDRCn1JjeouxAyDN","Had Enough (feat. Quavo & Offset)","157133","1"
"6gi6y1xwmVszDWkUqab1qw","OUT WEST (feat. Young Thug)","157712","1"
"6cy3ki60hLwimwIje7tALf","RITMO (Bad Boys For Life)","221714","1"
"5p7ujcrUXASCNwRaWNHR1C","Without Me","201660","1"
"0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","218146","1"
"2tnVG71enUj33Ic2nFN6kZ","Ride It","157605","0"
"22vgEDb5hykfaTwLuskFGD","Sucker","181026","0"
"6kls8cSlUyHW2BUOkDJIZE","Hate Me (with Juice WRLD)","186223","0"
"6V9fHiv84WlVTg7CSnIVY2","Graveyard","181805","0"
"1mpD5Q8IM32I4bF6eCpU74","Up All Night","157220","0"
"1ZMiCix7XSAbfAJlEZWMCp","Falling","240133","0"
"3QzAOrNlsabgbMwlZt7TAY","Ballin' (with Roddy Ricch)","180434","1"
"7fa9MBXhVfQ8P8Df9OEbD8","Girls Like You (feat. Cardi B) - Cardi B Version","235545","1"
"4yI3HpbSFSgFZtJP2kDe5m","Look At Her Now","162595","0"
"6vBdBCoOhKHiYDDOcorfNo","Goodbyes (Feat. Young Thug)","174960","1"
"0pqnGHJpmpxLKifKRmU6WP","Believer","204346","0"
"7LzouaWGFCy4tkXDOOnEyM","Liar","207038","0"
"1iSqfoUFnQwV0QW1EfUit8","Suicidal","222997","1"
"1Knctxx9vGZxpZfF66BIEa","Legends","191840","1"
"6Qs4SXO9dwPj5GKvVOv8Ki","Dancing With A Stranger (with Normani)","171029","0"
"4T7CM071eEoHudiDShZlCJ","Tala","245053","0"
"2BgEsaKNfHUdlh97KmvFyo","2002","186986","0"
"5ry2OE6R2zPQFDO85XkgRb","Money In The Grave (Drake ft. Rick Ross)","205426","1"
"07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","159011","0"
"25sgk305KZfyuqVBQIahim","Sweet but Psycho","187436","0"
"2kJwzbxV2ppxnQoYw4GLBZ","If the World Was Ending (feat. Julia Michaels)","208687","0"
"4YMfE4r1JWADFw2Fn74XW2","Catriona","204512","1"
"2P91MQbaiQOfbiz9VqhqKQ","I Like Me Better","197436","0"
"6fTt0CH2t0mdeB2N9XFG5r","Panini","114893","0"
"4ZLzoOkj0MPWrTLvooIuaa","Get You The Moon (feat. Snøw)","179080","0"
"58wyJLv6yH1La9NIZPl3ne","Can We Kiss Forever?","187931","0"
"3TKpJrY9q49Mj1JOsM9zGL","Family","194826","0"
"2xLMifQCjDGFmkHkpNLD9h","SICKO MODE","312820","1"
"4etKC4ngPKsQDHUMnYgV3A","Down Like That (feat. Rick Ross, Lil Baby & S-X)","175462","1"
"4a6q8CR2hzLk2plDkSxkfD","I.F.L.Y.","165714","1"
"2ZRo7axmMPeSVUvDbGkJah","Hope","110886","1"
"322tcqPhma7F6hfCeLisx0","fuck, i'm lonely","198973","1"
"5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go","211466","0"
"2YKeexcZTaMatMTfts9SmG","Maktoob Ma Artah","194808","0"
"7CHi4DtfK4heMlQaudCuHK","Lose Control","168387","0"
"3i9UVldZOE0aD0JnyfAZZ0","Lover (Remix) [feat. Shawn Mendes]","221306","0"
"3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","207320","1"
"7FGq80cy8juXBCD2nrqdWU","Eastside (with Halsey & Khalid)","170769","0"
"2qxmye6gAegTMjLKEBoR3d","Let Me Down Slowly","169353","0"
"53CJANUxooaqGOtdsBTh7O","Old Town Road","113013","0"
"7qiZfU4dY1lWllzX7mPBI3","Shape of You","233712","0"
"1VJwtWR6z7SpZRwipI12be","Candy","190920","1"
"6MWtB6iiXyIwun0YzU6DFP","Wow.","149520","1"
"4UKCKdYiLN6IMA5ZESUTL7","the remedy for a broken heart (why am I so in love)","160184","1"
"5PYQUBXc7NYeI1obMKSJK0","Never Really Over","223523","0"
"7k4t7uLgtOxPwTpFmtJNTY","Tusa","200960","0"
"5stPVcRqb4qixbafP9e8lt","Hola - Remix","249520","0"
"6mAN61JH0dzyZpWslS11jy","Fantasias","199711","0"
"6RyaV7owmVU6fzEPE17sF1","Que Tire Pa Lante","210520","0"
"2ksOAxtIxY8yElEWw8RhgK","China","301714","0"
"1Xnn1TPyr5h0hpRAT4B4EA","Bellaquita - Remix","304733","1"
"4BCPItsB94KDLuERZT3aNM","Fresa","165646","0"
"2n7ohqg1s68ToAHh4u9mcW","Vete","192024","1"
"2b6i9zx3ULzKrNWmyP0ePD","C90 (Remix)","316000","0"
"0RDgqtvOHLwcI6yz9bjsZV","Perreo en La Luna","218586","1"
"3jbT1Y5MoPwEIpZndDDwVq","Adicto (with Anuel AA & Ozuna)","270740","0"
"4dqoJHdxf9Ez4DDqGh2PBc","Ya No Mas","158447","0"
"1nocRtwyNPVtGcIJqfgdzZ","Tutu","178613","0"
"2pWOMNQJW3g2zmGjP0Vkb0","Whine Up","215459","0"
